Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Opponent Position(x),Opponent Position(y),score,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,3,none,Feed,Topspin,58.494476,5,0,0,out,ad,far,0.40197,24.420881,no_mans_land,ad,near,-1.219537,2.253872,0.947433,---,Out,FALSE,11:47:47,106.379997,-1.19869,2.255573,15-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,99.67775,7,0,0,service_box,deuce,near,1.554943,7.583113,out,deuce,far,-0.626083,23.841862,2.61364,down the T,In,FALSE,11:48:04,123.690002,3.477402,-0.473564,30-30,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Backhand,Slice,58.035042,7,0,0,no_mans_land,ad,far,2.707605,22.655495,no_mans_land,deuce,near,2.542049,0.615203,1.086033,inside in,In,FALSE,11:48:05,124.779999,-0.595911,24.197201,30-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Backhand,Slice,67.383484,7,0,0,no_mans_land,ad,near,-1.404929,3.181364,no_mans_land,ad,far,2.707605,23.864283,0.804723,cross court,In,FALSE,11:48:07,126.660004,0.248925,-0.524327,30-30,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Backhand,Topspin,60.119453,7,0,0,no_mans_land,ad,far,2.572222,19.120913,no_mans_land,ad,near,-1.905348,0.08185,1.002467,cross court,In,FALSE,11:48:09,128.300003,0.822206,24.552542,30-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Backhand,Flat,70.939156,7,0,0,no_mans_land,ad,near,-0.776947,2.117524,no_mans_land,ad,far,3.393844,24.691824,1.161408,cross court,In,FALSE,11:48:10,129.860001,-0.595911,-1.133482,30-30,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Backhand,Topspin,80.151535,7,0,0,no_mans_land,ad,far,2.02511,21.867702,out,ad,near,-1.872191,-1.642238,1.239283,cross court,In,FALSE,11:48:12,131.460007,1.365314,24.044912,30-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,7,in_play,Backhand,Flat,80.122559,7,0,0,no_mans_land,ad,near,-0.807119,4.450436,out,ad,far,2.511252,24.400253,1.433582,cross court,In,FALSE,11:48:13,133.029999,-0.988155,-0.778142,30-30,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,8,in_play,Backhand,Slice,69.273499,7,0,0,no_mans_land,ad_alley,far,4.261892,20.980856,no_mans_land,ad,near,-1.501091,0.08522,1.043432,down the line,Out,FALSE,11:48:15,134.380005,0.852378,24.298727,30-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,90.820709,8,0,0,service_box,deuce,far,-1.380357,11.924544,no_mans_land,ad,far,0.523015,23.435759,1.7757,down the T,Net,FALSE,11:48:31,150.919998,-3.371798,-0.524327,40-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,second_serve,Serve,Slice,70.800003,8,0,0,service_box,deuce,far,-1.3804,11.912581,no_mans_land,ad,far,0.33493,23.556078,2.137893,down the T,Net,FALSE,11:48:37,156.679993,-3.130416,1.506189,40-30,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,1,first_serve,Serve,Flat,95.214172,10,0,0,service_box,deuce,near,2.154725,7.038173,service_box,deuce,far,-0.481387,23.396402,2.334613,down the T,In,FALSE,11:48:58,177.919998,2.904121,0.287879,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,2,return,Forehand,Flat,65.682213,10,0,0,no_mans_land,ad,far,0.269741,21.698761,no_mans_land,deuce,near,4.054082,0.514718,1.05172,down the line,In,FALSE,11:49:00,179.139999,-0.595911,23.841862,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,3,serve_plus_one,Forehand,Topspin,64.170387,10,0,0,no_mans_land,ad,near,-1.98384,2.521446,out,ad,far,0.158407,24.70483,0.998438,inside out,In,FALSE,11:49:01,180.630005,0.629329,-0.57509,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,4,return_plus_one,Backhand,Topspin,66.855003,10,0,0,no_mans_land,ad,far,2.300667,22.107677,out,ad,near,-2.889035,-1.305789,1.462481,cross court,In,FALSE,11:49:03,182.470001,1.395487,24.146439,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,5,in_play,Forehand,Flat,87.941147,10,0,0,no_mans_land,ad,near,-1.925615,4.907302,out,ad,far,2.522793,25.009407,1.544928,inside out,In,FALSE,11:49:05,184.300003,-0.837292,-1.691874,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,6,in_play,Backhand,Topspin,76.791489,10,0,0,no_mans_land,ad,far,1.219538,20.523464,out,ad,near,-3.680276,-0.80181,0.933944,cross court,In,FALSE,11:49:06,185.75,2.270495,23.334232,40-40,,,,,,,,,,,,,,,,
ó¥ç∆ ãvï€,7,in_play,Forehand,Topspin,78.280319,10,0,0,service_box,ad,near,-1.035225,6.043601,out,ad,far,2.317688,24.755592,1.077508,inside out,In,FALSE,11:49:07,187.119995,-1.561437,-1.082719,40-40,,,,,,,,,,,,,,,,
Yoshizawa Masatsugu,8,in_play,Backhand,Flat,70.451752,10,0,0,out,ad,far,3.356711,24.455776,out,ad,near,-2.044199,-0.676616,0.733035,cross court,Out,FALSE,11:49:09,188.660004,1.455832,23.13118,40-40,,,,,,,,,,,,,,,,
